"Dist Code","Year","State Code","State Name","Dist Name","TOTAL AREA (1000 ha)","FOREST AREA (1000 ha)","BARREN AND UNCULTIVABLE LAND AREA (1000 ha)","LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha)","CULTIVABLE WASTE LAND AREA (1000 ha)","PERMANENT PASTURES AREA (1000 ha)","OTHER FALLOW AREA (1000 ha)","CURRENT FALLOW AREA (1000 ha)","NET CROPPED AREA (1000 ha)","GROSS CROPPED AREA (1000 ha)","CROPING INTENSITY (Percent)"
"1010","2017","5","Karnataka","Bagalkote","658.88","81.13","24.81","29.85","2.04","3.43","14.95","34.4","467.99","609.72","130.3"
"1011","2000","5","Karnataka","Chamaraja Nagar","570.0","276.0","21.0","25.0","8.0","23.0","25.0","28.0","160.0","189.0","118.1"
"1011","2001","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.51","7.64","22.75","24.91","35.05","153.26","203.68","132.9"
"1011","2002","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.51","7.64","22.75","24.91","30.66","157.66","197.3","125.1"
"1011","2003","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.51","7.64","22.75","25.91","33.04","154.27","182.0","118.0"
"1011","2004","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.51","7.64","22.75","24.21","13.18","175.83","214.34","121.9"
"1011","2005","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.51","7.64","22.75","23.48","12.76","176.98","216.63","122.4"
"1011","2006","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.51","7.64","22.75","24.65","12.2","176.33","201.65","114.4"
"1011","2007","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.61","7.64","22.75","19.15","7.87","186.06","218.66","117.5"
"1011","2008","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.61","7.64","22.75","13.5","7.74","191.84","230.54","120.2"
"1011","2009","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.61","7.64","22.75","15.8","10.71","186.62","225.29","120.7"
"1011","2010","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.61","7.64","22.75","12.89","11.37","188.87","225.45","119.4"
"1011","2011","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.61","7.64","22.75","12.98","15.75","184.4","222.4","120.6"
"1011","2012","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.61","7.64","22.75","11.68","16.23","185.21","232.29","125.4"
"1011","2013","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.62","7.64","22.75","11.93","39.74","161.45","188.81","116.9"
"1011","2014","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.63","7.64","22.75","11.93","47.74","153.44","191.02","124.5"
"1011","2015","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.63","7.64","22.75","11.86","40.18","161.06","194.69","120.9"
"1011","2016","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.63","7.64","22.75","11.86","69.54","131.7","151.46","115.0"
"1011","2017","5","Karnataka","Chamaraja Nagar","569.9","275.61","21.43","24.63","7.64","22.75","9.86","49.26","153.99","193.66","125.8"
"1012","2000","5","Karnataka","Davanagere","598.0","90.0","20.0","39.0","9.0","19.0","9.0","18.0","387.0","463.0","119.6"
"1012","2001","5","Karnataka","Davanagere","597.6","89.92","20.53","38.97","9.23","19.54","9.27","39.64","365.45","436.05","119.3"
"1012","2002","5","Karnataka","Davanagere","597.6","89.92","20.53","38.97","9.23","19.54","9.17","49.64","355.55","408.85","115.0"
"1012","2003","5","Karnataka","Davanagere","597.6","89.92","20.53","38.96","9.23","19.54","9.29","56.65","348.43","394.56","113.2"
"1012","2004","5","Karnataka","Davanagere","597.6","89.92","20.53","38.96","9.11","19.54","7.95","26.77","379.77","459.98","121.1"
"1012","2005","5","Karnataka","Davanagere","597.6","89.92","20.53","38.96","8.53","19.54","11.94","17.75","385.59","470.61","122.1"
"1012","2006","5","Karnataka","Davanagere","597.6","89.92","20.53","38.96","8.53","19.54","5.85","21.28","388.04","470.02","121.1"
"1012","2007","5","Karnataka","Davanagere","597.6","89.92","20.53","38.96","8.53","19.54","5.86","19.53","389.77","422.63","108.4"
"1012","2008","5","Karnataka","Davanagere","597.6","89.92","20.53","38.96","8.53","19.54","5.21","17.78","392.18","460.77","117.5"
"1012","2009","5","Karnataka","Davanagere","597.6","89.92","20.53","38.96","8.53","19.54","5.21","10.9","399.05","477.84","119.7"
"1012","2010","5","Karnataka","Davanagere","597.6","89.92","20.53","38.99","8.53","19.54","5.42","14.04","395.68","493.73","124.8"
"1012","2011","5","Karnataka","Davanagere","597.6","89.92","20.53","39.08","8.53","19.54","5.42","20.62","389.01","486.68","125.1"
"1012","2012","5","Karnataka","Davanagere","597.6","89.92","20.53","39.26","8.53","19.54","5.42","18.38","391.07","462.67","118.3"
"1012","2013","5","Karnataka","Davanagere","597.6","89.92","20.53","39.42","8.53","19.54","5.42","34.57","374.72","461.13","123.1"
"1012","2014","5","Karnataka","Davanagere","597.6","89.92","20.53","39.79","8.53","19.54","5.05","16.14","393.15","480.81","122.3"
"1012","2015","5","Karnataka","Davanagere","597.6","89.92","20.53","39.79","8.53","19.54","5.14","25.12","384.08","425.79","110.9"
"1012","2016","5","Karnataka","Davanagere","597.6","89.92","19.63","39.89","8.53","19.54","4.83","26.56","383.77","405.14","105.6"
"1012","2017","5","Karnataka","Davanagere","597.6","89.92","19.63","40.08","8.43","19.54","4.33","67.97","343.19","417.16","121.6"
"1013","2000","5","Karnataka","Gadag","466.0","33.0","12.0","10.0","1.0","3.0","6.0","10.0","391.0","497.0","127.1"
"1013","2001","5","Karnataka","Gadag","465.72","32.61","11.63","10.24","1.01","2.59","7.9","6.72","392.79","442.43","112.6"
"1013","2002","5","Karnataka","Gadag","465.72","32.61","11.63","10.41","1.01","2.59","4.65","4.08","398.51","501.94","126.0"
"1013","2003","5","Karnataka","Gadag","465.72","32.61","11.63","10.46","1.01","2.59","4.17","29.81","373.2","409.25","109.7"
"1013","2004","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","4.01","16.48","386.67","571.55","147.8"
"1013","2005","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","6.17","20.81","380.18","567.26","149.2"
"1013","2006","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","3.7","23.35","380.08","545.91","143.6"
"1013","2007","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","3.46","18.94","384.73","558.53","145.2"
"1013","2008","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","3.71","43.71","359.7","458.27","127.4"
"1013","2009","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","1.22","6.83","399.07","574.9","144.1"
"1013","2010","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","0.56","2.1","404.46","552.93","136.7"
"1013","2011","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","5.15","49.35","352.62","494.62","140.3"
"1013","2012","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","6.36","51.08","349.69","423.15","121.0"
"1013","2013","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","6.16","32.62","368.35","527.41","143.2"
"1013","2014","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","4.97","24.63","377.54","538.25","142.6"
"1013","2015","5","Karnataka","Gadag","465.72","32.61","11.63","10.48","1.01","2.59","4.53","11.41","391.19","497.9","127.3"
"1013","2016","5","Karnataka","Gadag","465.72","32.61","12.02","11.37","1.01","2.6","3.04","26.26","376.54","572.2","152.0"
