Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters),ANNUAL RAINFALL (Millimeters)
79,2013,5,Karnataka,Gulbarga,0,12.1,2.6,25.8,40.3,112.7,192.9,77,294.7,74.8,5.7,0.3,838.9
79,2014,5,Karnataka,Gulbarga,0,4.7,34.5,31.6,77,42.6,104.1,237.9,125.6,38.3,31,8.3,735.6
79,2015,5,Karnataka,Gulbarga,5.3,0,35.5,94.1,16.5,58.7,61.8,117.2,169.6,32.2,0.5,3.9,595.3
79,2016,5,Karnataka,Gulbarga,0.2,0.8,9.5,10.6,47,173.1,259.2,52,301,36.2,1.4,0.6,891.6
79,2017,5,Karnataka,Gulbarga,0,0,16.6,9.2,25.7,229.5,57.5,137.7,191.7,148.1,0.3,0,816.3
80,2000,5,Karnataka,Dakshina Kannada,36,0,0,52,249,1151,773,724,247,272,30,6,3540
80,2001,5,Karnataka,Dakshina Kannada,0,1,0,110,217,1104,1101,774,191,271,120,0,3889
80,2002,5,Karnataka,Dakshina Kannada,0,28,0,51,232,668,621,653,224,596,59,0,3132
80,2003,5,Karnataka,Dakshina Kannada,-1,-1,-1,82,21,1147,1005,748,177,231,31,0,-1
80,2004,5,Karnataka,Dakshina Kannada,1,0,16,23,525,849,774,773,160,142,140,0,3403
80,2005,5,Karnataka,Dakshina Kannada,0,0,16,46,484,969,1076,654,343,213,26,3,3830
80,2006,5,Karnataka,Dakshina Kannada,0,0,6,1,625,848,982,685,440,308,139,0,4034
80,2007,5,Karnataka,Dakshina Kannada,0,0.2,0.2,32.2,93.2,1058.9,994.5,834.1,777.1,222.3,62.9,0.4,4076
80,2008,5,Karnataka,Dakshina Kannada,0,0,0,53,95,975,815,803,367,190,31,9,3190
80,2009,5,Karnataka,Dakshina Kannada,0,0,31.8,29.9,182.2,500.7,1669.3,616.6,580.5,204.9,0,0,3815.9
80,2010,5,Karnataka,Dakshina Kannada,16,1,4,85,151,826,1271,785,536,424,351,20,4471
80,2011,5,Karnataka,Dakshina Kannada,1,1,5,90,88,1046,1088,976,530,287,156,4,4293
80,2012,5,Karnataka,Dakshina Kannada,0,0.3,1.1,113,37.4,749.9,680.8,1127.3,423.8,150.2,90.1,0.9,3374.8
80,2013,5,Karnataka,Dakshina Kannada,0.7,25.3,32.5,33.5,102.5,1228.1,1445.5,653.5,379.7,288.3,78.2,16.8,4284.6
80,2014,5,Karnataka,Dakshina Kannada,0,0.5,1.5,56.3,220.4,496.5,1128.8,1056.9,402.3,254.4,51,35.5,3704.1
80,2015,5,Karnataka,Dakshina Kannada,1.6,1.8,33.5,96.3,188.8,732.3,1013.1,602.5,214.6,252.1,128.5,24.2,3289.3
80,2016,5,Karnataka,Dakshina Kannada,0.3,0,0.2,12.2,135,949,888.5,530.2,219.7,46.2,27.4,9.4,2818.1
80,2017,5,Karnataka,Dakshina Kannada,4.2,0,6.6,23.8,151.1,843.9,737.3,737.9,343.6,194.9,37.6,9.5,3090.4
81,2000,5,Karnataka,Uttara Kannada,4,1,0,12,138,700,901,656,282,115,3,0,2812
81,2001,5,Karnataka,Uttara Kannada,1,0,0,44,71,614,699,493,105,78,6,1,2112
81,2002,5,Karnataka,Uttara Kannada,0,4,0,29,133,758,369,582,120,304,2,0,2301
81,2003,5,Karnataka,Uttara Kannada,-1,-1,-1,28,6,851,868,480,209,165,3,0,-1
81,2004,5,Karnataka,Uttara Kannada,0,0,0,17,280,699,529,733,163,85,30,0,2536
81,2005,5,Karnataka,Uttara Kannada,0,0,0,15,174,728,1115,495,373,153,4,0,3057
81,2006,5,Karnataka,Uttara Kannada,0,0,9,1,308,744,834,659,419,222,44,0,3240
81,2007,5,Karnataka,Uttara Kannada,0,0.1,1.9,27.8,62.9,949.7,810.5,935.8,549.6,124.4,28.4,0.4,3491.5
81,2008,5,Karnataka,Uttara Kannada,0,0,1,39,34,704,584,903,331,35,13,3,2574
81,2009,5,Karnataka,Uttara Kannada,0,0,27.6,16.4,83.1,428,1412.6,365.7,503.2,267.1,0,0,3103.7
81,2010,5,Karnataka,Uttara Kannada,13,0,4,43,48,525,1008,491,400,177,167,3,2879
81,2011,5,Karnataka,Uttara Kannada,0,1,2,55,28,877,943,701,476,118,38,0,3237
81,2012,5,Karnataka,Uttara Kannada,0,0,0.2,55,6.8,675.2,790.8,955.9,346.8,144.1,59.3,0.8,3034.9
81,2013,5,Karnataka,Uttara Kannada,4.5,12.4,1.6,12,73.3,854.8,1518.1,611.8,350.1,195.7,14.3,0.6,3649.2
81,2014,5,Karnataka,Uttara Kannada,0,0,3.9,25.8,134.1,447.4,1172.5,1005.1,301.9,148.1,25.7,25.3,3289.8
81,2015,5,Karnataka,Uttara Kannada,1.7,0,27.4,22.8,94.4,664.5,482.1,423.4,257.1,105,57.1,0.2,2135.7
81,2016,5,Karnataka,Uttara Kannada,0.4,0,0.3,1.1,67.8,842.8,635.9,401,204.9,89.8,8.9,0.7,2253.6
81,2017,5,Karnataka,Uttara Kannada,0,0,1.4,4.5,108.1,699.3,743.6,488.6,281.6,140.8,8,3.8,2479.7
82,2000,5,Karnataka,Kodagu,14,6,2,75,121,653,651,784,256,178,24,71,2835
82,2001,5,Karnataka,Kodagu,0,14,1,138,119,570,770,536,141,173,95,0,2557
82,2002,5,Karnataka,Kodagu,0,7,0,61,47,441,375,613,146,412,16,0,2118
82,2003,5,Karnataka,Kodagu,-1,-1,-1,72,5,426,594,504,107,210,10,0,1928
82,2004,5,Karnataka,Kodagu,0,0,17,107,298,680,621,747,78,185,54,0,2787
82,2005,5,Karnataka,Kodagu,0,0,32,98,343,437,1120,660,376,191,69,1,3327
82,2006,5,Karnataka,Kodagu,0,0,79,25,431,457,831,539,302,162,102,4,2932
82,2007,5,Karnataka,Kodagu,0,0,5.6,37,53.6,826,1276.2,884.7,442.6,176,54.4,4,3760.1
82,2008,5,Karnataka,Kodagu,0,0,3,86,84,518,581,583,218,200,11,2,2116
82,2009,5,Karnataka,Kodagu,0,0,88.2,46.4,74.3,219.1,1318.1,271.3,337.8,145.7,0,0,2500.9
82,2010,5,Karnataka,Kodagu,15,3,11,74,106,394,729,489,295,278,250,1,2647
82,2011,5,Karnataka,Kodagu,3,10,13,137,94,743,721,625,390,229,114,0,3077
82,2012,5,Karnataka,Kodagu,0.5,2.2,7.2,154.9,34.6,273.3,363.7,531,238.6,98.2,94.9,8.6,1807.7
