iter	Passed	Remaining
950	60579	3121
951	60633	3057
952	60691	2993
953	60749	2929
954	60809	2865
955	60860	2801
956	60916	2737
957	60972	2673
958	61028	2609
959	61086	2545
960	61144	2481
961	61206	2417
962	61265	2353
963	61328	2290
964	61380	2226
965	61437	2162
966	61497	2098
967	61561	2035
968	61619	1971
969	61675	1907
970	61733	1843
971	61800	1780
972	61861	1716
973	61914	1652
974	61974	1589
975	62039	1525
976	62107	1462
977	62173	1398
978	62232	1334
979	62292	1271
980	62351	1207
981	62418	1144
982	62478	1080
983	62534	1016
984	62587	953
985	62640	889
986	62703	825
987	62755	762
988	62812	698
989	62868	635
990	62929	571
991	62984	507
992	63045	444
993	63101	380
994	63158	317
995	63215	253
996	63274	190
997	63336	126
998	63394	63
999	63456	0
